seqName	isoweek	lineage	variant
hCoV-19/USA/NC-CORVASEQ-UNC-0001/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0002/2021	1	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0003/2021	1	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0004/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0005/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0006/2021	1	B.1.240	
hCoV-19/USA/NC-CORVASEQ-UNC-0007/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0008/2021	1	B.1.110.3	
hCoV-19/USA/NC-CORVASEQ-UNC-0009/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0010/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0011/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0012/2021	1	B.1.369	
hCoV-19/USA/NC-CORVASEQ-UNC-0013/2021	1	B.1.110.3	
hCoV-19/USA/NC-CORVASEQ-UNC-0014/2021	1	B.1.1.403	
hCoV-19/USA/NC-CORVASEQ-UNC-0015/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0016/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0017/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0018/2021	1	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0019/2021	2	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0020/2021	2	B.1.596	
hCoV-19/USA/NC-CORVASEQ-UNC-0021/2021	2	B.1.596	
hCoV-19/USA/NC-CORVASEQ-UNC-0022/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0023/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0024/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0025/2021	2	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0026/2021	2	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0027/2021	2	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0028/2021	2	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0029/2021	2	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0030/2021	2	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0031/2021	3	B.1.324	
hCoV-19/USA/NC-CORVASEQ-UNC-0032/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0033/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0034/2021	3	B.1.582	
hCoV-19/USA/NC-CORVASEQ-UNC-0035/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0036/2021	3	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0037/2021	3	B.1.605	
hCoV-19/USA/NC-CORVASEQ-UNC-0038/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0039/2021	3	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0040/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0041/2021	3	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0042/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0043/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0044/2021	3	B.1.369	
hCoV-19/USA/NC-CORVASEQ-UNC-0045/2021	3	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0046/2021	3	B.1.1.207	
hCoV-19/USA/NC-CORVASEQ-UNC-0047/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0048/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0049/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0050/2021	2	B.1.609	
hCoV-19/USA/NC-CORVASEQ-UNC-0051/2021	3	B.1.427	Epsilon (B.1.427-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0052/2021	3	B.1.582	
hCoV-19/USA/NC-CORVASEQ-UNC-0053/2021	3	B.1.568	
hCoV-19/USA/NC-CORVASEQ-UNC-0054/2021	3	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0055/2021	3	B.1.429	Epsilon (B.1.429-like)
